"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"Sept 2001","8.847,56","9.946,98","10.182,38","8.062,34","5,56B","-11,08%"
"Août 2001","9.949,75","10.527,38","10.609,65","9.869,14","4,08B","-5,45%"
"Juill 2001","10.522,81","10.504,95","10.679,12","10.120,89","230,02M","0,00%"
"Juill 2001","10.522,81","10.504,95","10.679,12","10.120,89","4,61B","0,19%"
"Juin 2001","10.502,40","10.913,57","11.196,53","10.394,72","4,89B","-3,75%"
"Mai 2001","10.911,94","10.734,05","11.350,05","10.673,22","4,52B","1,65%"
"Avr 2001","10.734,97","9.877,16","10.906,41","9.375,72","272,38M","0,00%"
"Avr 2001","10.734,97","9.877,16","10.906,41","9.375,72","5,18B","8,67%"
"Mar 2001","9.878,78","10.493,25","10.859,50","9.106,54","6,04B","-5,87%"
"Févr 2001","10.495,28","10.884,82","11.035,14","10.294,01","4,16B","-3,60%"
"Jan 2001","10.887,36","10.790,92","11.028,00","10.468,04","290,79M","0,00%"
"Jan 2001","10.887,36","10.790,92","11.028,00","10.468,04","5,83B","0,93%"
"Déc 2000","10.786,85","10.416,76","10.917,68","10.299,21","5,21B","3,58%"
"Nov 2000","10.414,49","10.966,21","11.006,50","10.292,39","4,68B","-5,07%"
"Oct 2000","10.971,14","10.659,06","10.995,41","9.654,64","297,12M","0,00%"
"Oct 2000","10.971,14","10.659,06","10.995,41","9.654,64","6,26B","3,01%"
"Sept 2000","10.650,92","11.219,54","11.401,19","10.567,32","4,64B","-5,03%"
"Août 2000","11.215,10","10.523,81","11.319,06","10.516,76","3,62B","6,59%"
"Juill 2000","10.521,98","10.450,36","10.874,63","10.393,09","171,24M","0,00%"
"Juill 2000","10.521,98","10.450,36","10.874,63","10.393,09","3,25B","0,71%"
"Juin 2000","10.447,90","10.532,27","10.863,00","10.335,46","3,79B","-0,71%"
"Mai 2000","10.522,34","10.749,42","10.971,24","10.258,81","3,82B","-1,97%"
"Avr 2000","10.733,91","10.863,28","11.425,45","10.201,53","222,28M","-0,00%"
"Avr 2000","10.733,92","10.863,28","11.425,45","10.201,53","4,05B","-1,72%"
"Mar 2000","10.921,93","10.128,11","11.234,65","9.731,81","4,75B","7,84%"
